🔒 Row ID,Nombre,CorreoElectrónico,Teléfono,Dirección,Contacto,Imagen,InformaciónAdicional,Email Cliente
prv-001,Ferreteria Mexicana SA de CV,ferreteriamexicana@correo.com,5551234567,"Av. 5 de Mayo 123, Col. Centro, Guadalajara, Jal.",Santiago Gómez,https://storage.googleapis.com/glide-atc-prod-agent-service/generated-images%2Fgenerated-1761780974865-6dea6dc5-790c-4a8b-a7d0-a7b44091ef79.jpg,"Proveedor confiable de la región, con gran variedad de productos.",
prv-002,Ferretería del Sol LA,ferreteriadelsole@gmail.com,5559876543,"Av. Francisco Villa 4567, Col. San Marcos, Los Ángeles, CA",Jessica Torres,https://storage.googleapis.com/glide-atc-prod-agent-service/generated-images%2Fgenerated-1761780974958-c9650175-372a-4831-903e-75f8eff4416a.jpg,Gran selección de materiales de construcción y decoración.,
prv-003,Bricolaje y Reparaciones,bricolaje@bricolaje.com,5555551234,"Calle de la Independencia 789, Col. El Centro, Guanajuato, Gto.",Juan Carlos López,https://storage.googleapis.com/glide-atc-prod-agent-service/generated-images%2Fgenerated-1759409200745-f7111bb7-870b-4f42-9277-e4c8e6645d47.jpg,Servicios de reparación y fabricación de piezas de carpintería y estructuras de madera.,
prv-004,Tecnologías en Construcción,tecnoconstruccion@gmail.com,5512345678,"Blvd. Manuel Avila Camacho 901, Col. Residencial del Bosque, Querétaro, Qro.",María Fernanda Hernández,https://storage.googleapis.com/glide-atc-prod-agent-service/generated-images%2Fgenerated-1761780975249-300bf161-301c-4c79-a0cc-f062bfcd63be.jpg,Diseño y ejecución de obras civiles y arquitectónicas de alta calidad.,
prv-005,Ferretería Central SA de CV,ferreteriacentral@correo.com,5576543210,"Calle principal 123, Col. El Centro, San Luis Potosí, SLP.",Carlos Sánchez,https://storage.googleapis.com/glide-atc-prod-agent-service/generated-images%2Fgenerated-1761780974804-20c611fc-edf7-49bb-9560-7d620a7e82d0.jpg,Gran elección de productos y materiales para construcción.,
prv-006,Constructoras y Ferreterías,constructorasyferreterias@gmail.com,5567890123,"Calle principal 543, Col. El Centro, Hermosillo, SON.",Ana López,https://storage.googleapis.com/glide-atc-prod-agent-service/generated-images%2Fgenerated-1759885727898-c0fe49b0-cb95-4cfd-a5d9-7f1e3166584a.jpg,"Diseño y construcción de viviendas, edificios comerciales y locales comerciales a la medida.",
prv-007,Ferretería Industrial y Comercial,ferreteriaicc@gmail.com,5576543210,"Av. del Ejército 789, Col. Centro, Chihuahua, Chih.",Carlos Gómez,https://storage.googleapis.com/glide-atc-prod-agent-service/generated-images%2Fgenerated-1761780974899-3cbb387e-3f8a-4052-a2d9-2f7dc47c7a18.jpg,Diseño y suministro de componentes y accesorios para la industria y la construcción.,
prv-008,Bienes y Servicios para Construcción,bienesyservicios@gmail.com,5565432100,"Calle del Parque 123, Col. Bosques de las Ánimas, Guadalajara, Jal.",Luisa Gaviria,https://storage.googleapis.com/glide-atc-prod-agent-service/generated-images%2Fgenerated-1761780974938-bb443677-dab9-4064-b2c3-f19ffd6206a0.jpg,"Servicios de asesoría, supervisión y control de calidad en la ejecución de obras civiles y arquitectónicas.",
prv-009,Suministro y Desarrollo Constructivo,suministro@gmail.com,5512345678,"Calle Independencia 543, Col. Centro, Tijuana, BCN.",Fernando Gómez,https://storage.googleapis.com/glide-atc-prod-agent-service/generated-images%2Fgenerated-1761780975411-aaa9e1ad-d3e9-4161-984c-f83583449ba0.jpg,"Diseño, suministro y construcción de obras complejas bajo los más altos estándares de calidad y seguridad.",
prv-010,Constructoras y Desarrolladores de la Región,constructorasydesarrolladores@gmail.com,5576543210,"Calle principal 123, Col. El Centro, Ciudad de México, D.F.",Luis Felipe Hernández,https://storage.googleapis.com/glide-atc-prod-agent-service/generated-images%2Fgenerated-1761780974918-352c6839-983e-4dd7-bae1-1ad429ef12fb.jpg,"Soluciones de construcción, diseño y desarrollo para la región, con una gran variedad de opciones.",
